"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","KostenProKopf"
"base","ganze Stadt","stark","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.2,-1.02e+09,0.3,0.5,-268.421052631579
"dekarbonisiert","ganze Stadt","stark","mautFossil","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.2,-9.7e+08,0.3,0.5,-255.263157894737
"base","base","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.4,-1.83e+09,0.3,0.5,-481.578947368421
"dekarbonisiert","base","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.3,-1.78e+09,0.3,0.5,-468.421052631579
"base","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.3,-1.82e+09,0.3,0.4,-478.947368421053
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.3,-1.77e+09,0.3,0.4,-465.789473684211
"base","base","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.3,-1.76e+09,0.3,0.4,-463.157894736842
"dekarbonisiert","base","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.3,-1.71e+09,0.3,0.4,-450
"base","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.3,-1.75e+09,0.3,0.4,-460.526315789474
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.3,-1.7e+09,0.3,0.4,-447.368421052632
"base","base","base","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.0158212,-3.7e+08,0.6,0.8,-97.3684210526316
"dekarbonisiert","base","base","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.0058212,-3.2e+08,0.6,0.8,-84.2105263157895
"base","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","Besucher_teuer_Anwohner_preiswert",0.0152272,-3.6e+08,0.5,0.7,-94.7368421052632
